,prior_participation_open_house,prior_participation_instant_decision_day,prior_participation_on_campus_info_session,prior_participation_virtual_info_session,prior_participation_women_who_dare,prior_participation_regional_college_fair,prior_participation_hs_sharetime_info_session,prior_participation_challenger_program,prior_participation_cybersec_program,prior_participation_hs_info_session,prior_participation_hs_campus_visit,prior_participation_individual_campus_visit,prior_participation_workforce_development_class,prior_participation_corporate_training,prior_participation_teen_arts_fest,prior_participation_CCM_summer_camp,current_degree,motivation_computing_job,motivation_transfer_bachelors,motivation_hs_dual_enrollment,motivation_career_advancement,motivation_career_change,motivation_profession_development,motivation_job_displacement,motivation_relocation,motivation_keep_current_in_tech,motivation_IT_certification,motivation_financial,motivation_personal_enrichment,info_source_hs_guidance_counselor,info_source_hs_teacher,info_source_ccm_website,info_source_ccm_admissions,info_source_ccm_advisor,info_source_employer,info_source_workforce_development,info_source_NJ_workforce_development,info_source_other
35,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
36,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37,No,No,No,No,No,No,No,No,No,Not Sure,No,Yes,No,No,No,No,Computer Science,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
40,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
41,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall
42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
43,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No
45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
46,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No
48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall
49,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Web Development Certificate of Achievement,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No
50,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No
51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
52,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Information Technology,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes
53,No,No,Yes,No,No,No,Not Sure,No,No,Yes,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No
54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Information Technology,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,Don't recall
56,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
57,Not Sure,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
58,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
60,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Data Analytics Certificate of Achievement,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
61,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Data Analytics Certificate of Achievement,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
62,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
63,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall
64,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
65,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Information Technology,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
66,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
